frame,point,x,y,visibility
0,0,323,55,0.9974566102027893
0,1,321,45,0.9972440004348755
0,2,319,44,0.9978126287460327
0,3,316,44,0.9974262118339539
0,4,325,46,0.9974677562713623
0,5,327,46,0.9979414343833923
0,6,328,46,0.997516393661499
0,7,306,47,0.9981042146682739
0,8,327,50,0.9968330264091492
0,9,319,63,0.9970711469650269
0,10,323,64,0.9956451654434204
0,11,254,97,0.9995436072349548
0,12,339,121,0.9992184638977051
0,13,252,168,0.31096917390823364
0,14,381,185,0.9572694897651672
0,15,273,221,0.2825271487236023
0,16,412,120,0.9343986511230469
0,17,269,231,0.3481520414352417
0,18,422,105,0.9441846013069153
0,19,271,230,0.32593467831611633
0,20,414,98,0.9371464848518372
0,21,275,227,0.2877652049064636
0,22,409,103,0.8936970829963684
0,23,263,241,0.9979846477508545
0,24,304,255,0.9987314343452454
0,25,264,287,0.21844859421253204
0,26,291,302,0.7233351469039917
0,27,256,353,0.5724115967750549
0,28,282,373,0.8593717813491821
0,29,250,368,0.7274550199508667
0,30,272,389,0.8834766149520874
0,31,264,335,0.5748707056045532
0,32,300,367,0.6780458688735962
1,0,303,29,0.9976952075958252
1,1,301,22,0.997499406337738
1,2,299,22,0.9980167746543884
1,3,294,23,0.9976621866226196
1,4,308,21,0.9977003931999207
1,5,309,22,0.9981319308280945
1,6,310,22,0.9977386593818665
1,7,287,28,0.9982836246490479
1,8,314,28,0.9971327185630798
1,9,299,38,0.9973475933074951
1,10,304,37,0.9960605502128601
1,11,249,84,0.9995837211608887
1,12,339,88,0.9992619156837463
1,13,233,144,0.375683069229126
1,14,384,129,0.957587480545044
1,15,230,193,0.3205859661102295
1,16,404,75,0.9218181371688843
1,17,228,204,0.37695252895355225
1,18,408,82,0.932005763053894
1,19,231,205,0.3532155156135559
1,20,396,77,0.9243111610412598
1,21,234,201,0.31424862146377563
1,22,393,70,0.8798607587814331
1,23,262,227,0.9981739521026611
1,24,305,231,0.9988334774971008
1,25,260,263,0.261714369058609
1,26,299,264,0.7182779908180237
1,27,252,335,0.6031810641288757
1,28,293,335,0.859003484249115
1,29,249,350,0.7475740909576416
1,30,286,348,0.8883582353591919
1,31,248,310,0.5870791673660278
1,32,298,322,0.6655252575874329
2,0,300,22,0.997908353805542
2,1,300,16,0.9977294206619263
2,2,297,17,0.9981991052627563
2,3,294,18,0.9978747367858887
2,4,305,15,0.9979090690612793
2,5,306,15,0.9983010292053223
2,6,307,16,0.9979368448257446
2,7,288,22,0.998443603515625
2,8,310,23,0.997402012348175
2,9,296,31,0.9975965619087219
2,10,301,30,0.9964361786842346
2,11,247,79,0.9996206164360046
2,12,339,83,0.9993054270744324
2,13,227,137,0.435489296913147
2,14,385,126,0.9570263624191284
2,15,220,188,0.36389654874801636
2,16,395,90,0.8997110724449158
2,17,217,200,0.4102250039577484
2,18,401,88,0.9095422625541687
2,19,220,201,0.38564395904541016
2,20,391,82,0.9008432626724243
2,21,224,197,0.3444337844848633
2,22,385,81,0.8552218675613403
2,23,261,220,0.9983434081077576
2,24,308,225,0.998920738697052
2,25,258,259,0.3121306002140045
2,26,304,261,0.7220337390899658
2,27,249,332,0.633613646030426
2,28,298,332,0.8600466847419739
2,29,249,348,0.7661384344100952
2,30,290,348,0.8916588425636292
2,31,242,307,0.6080738306045532
2,32,296,318,0.6626176238059998
3,0,304,29,0.9980130791664124
3,1,304,23,0.9978322982788086
3,2,301,23,0.9982789158821106
3,3,298,24,0.9979383945465088
3,4,309,22,0.9980046153068542
3,5,310,23,0.9983799457550049
3,6,311,23,0.9979901313781738
3,7,291,28,0.9985092878341675
3,8,313,29,0.997559130191803
3,9,300,38,0.9977043867111206
3,10,305,37,0.996649980545044
3,11,248,80,0.9996340274810791
3,12,340,82,0.9992870688438416
3,13,222,130,0.48899415135383606
3,14,388,123,0.9570366740226746
3,15,213,183,0.40797480940818787
3,16,396,83,0.8873339891433716
3,17,211,195,0.44570252299308777
3,18,399,89,0.896224319934845
3,19,214,196,0.4213041663169861
3,20,389,84,0.8875846862792969
3,21,217,191,0.3778228759765625
3,22,384,85,0.8415651917457581
3,23,261,220,0.998482882976532
3,24,309,226,0.9989878535270691
3,25,258,255,0.3608458340167999
3,26,305,259,0.7316781878471375
3,27,248,330,0.6617676019668579
3,28,301,330,0.8639529943466187
3,29,249,345,0.7834382057189941
3,30,294,344,0.896622359752655
3,31,243,308,0.6251801252365112
3,32,298,323,0.6624271869659424
4,0,304,30,0.9981025457382202
4,1,305,23,0.9979218244552612
4,2,302,24,0.9983507394790649
4,3,300,24,0.9980058670043945
4,4,310,23,0.9980698227882385
4,5,311,24,0.9984284043312073
4,6,312,24,0.9980053901672363
4,7,292,30,0.9985721111297607
4,8,314,31,0.9976785182952881
4,9,301,38,0.9978216886520386
4,10,306,38,0.9968540668487549
4,11,248,80,0.9996553063392639
4,12,342,80,0.9992557764053345
4,13,224,133,0.5372718572616577
4,14,388,126,0.9566323757171631
4,15,217,184,0.44609132409095764
4,16,394,84,0.8719326257705688
4,17,215,197,0.47592633962631226
4,18,398,88,0.8800627589225769
4,19,219,197,0.4513024687767029
4,20,388,84,0.871138334274292
4,21,222,192,0.40553587675094604
4,22,383,85,0.8246570229530334
4,23,261,219,0.9986056089401245
4,24,311,225,0.9990373849868774
4,25,258,254,0.40159356594085693
4,26,307,259,0.7324846982955933
4,27,248,328,0.6877024173736572
4,28,302,331,0.8659803867340088
4,29,249,345,0.799479603767395
4,30,296,345,0.9005897641181946
4,31,242,310,0.6432619094848633
4,32,298,326,0.6616405248641968
5,0,306,30,0.9980976581573486
5,1,306,24,0.9978786110877991
5,2,303,24,0.9983357787132263
5,3,301,25,0.9979400634765625
5,4,311,23,0.9980138540267944
5,5,312,24,0.9983968734741211
5,6,314,24,0.9978880286216736
5,7,293,31,0.9985606074333191
5,8,314,31,0.9977126717567444
5,9,302,38,0.997863233089447
5,10,307,38,0.9969763159751892
5,11,248,79,0.9996699690818787
5,12,345,82,0.9992141127586365
5,13,228,135,0.5774257779121399
5,14,388,129,0.9564867615699768
5,15,221,183,0.4765484035015106
5,16,395,80,0.8647980690002441
5,17,217,197,0.5022162199020386
5,18,401,85,0.8739413619041443
5,19,221,197,0.477144718170166
5,20,390,79,0.8648473620414734
5,21,226,192,0.4288414418697357
5,22,384,81,0.8179024457931519
5,23,261,219,0.9987072348594666
5,24,312,225,0.9990687370300293
5,25,258,253,0.4391128122806549
5,26,308,259,0.7364609241485596
5,27,249,328,0.7107798457145691
5,28,302,332,0.8681355714797974
5,29,249,344,0.8141153454780579
5,30,295,347,0.9048441052436829
5,31,243,309,0.6547220945358276
5,32,298,325,0.6548058986663818
6,0,304,32,0.9980644583702087
6,1,303,25,0.9978193044662476
6,2,301,25,0.998286783695221
6,3,297,26,0.9978346824645996
6,4,309,24,0.9979602098464966
6,5,311,25,0.9983517527580261
6,6,312,25,0.9977415800094604
6,7,288,32,0.9985120296478271
6,8,314,32,0.9976984262466431
6,9,299,40,0.9977880120277405
6,10,305,40,0.9969549775123596
6,11,248,80,0.9996740221977234
6,12,345,85,0.9991909265518188
6,13,224,138,0.6142375469207764
6,14,387,133,0.9561618566513062
6,15,222,184,0.4888247549533844
6,16,388,102,0.8468984365463257
6,17,219,197,0.5100723505020142
6,18,391,100,0.8553557395935059
6,19,223,197,0.48410990834236145
6,20,381,95,0.8457112908363342
6,21,228,193,0.4351758658885956
6,22,376,96,0.7978334426879883
6,23,261,220,0.9988041520118713
6,24,312,227,0.9991075396537781
6,25,258,254,0.4824068546295166
6,26,308,260,0.7462376952171326
6,27,249,324,0.7335298657417297
6,28,301,332,0.8726518154144287
6,29,249,341,0.828510582447052
6,30,294,347,0.9095273017883301
6,31,243,307,0.6691687703132629
6,32,298,325,0.6547155380249023
7,0,305,33,0.9982181191444397
7,1,304,26,0.9979901909828186
7,2,302,26,0.9984202980995178
7,3,298,26,0.9979952573776245
7,4,309,26,0.9981217980384827
7,5,312,26,0.9984821081161499
7,6,313,26,0.9979109168052673
7,7,290,33,0.9986286163330078
7,8,314,33,0.9978928565979004
7,9,300,41,0.9979626536369324
7,10,305,41,0.9972108006477356
7,11,249,81,0.9996910691261292
7,12,346,87,0.9992104172706604
7,13,226,139,0.6471982002258301
7,14,387,134,0.9558858871459961
7,15,224,183,0.5036324262619019
7,16,391,98,0.8346898555755615
7,17,220,196,0.52164226770401
7,18,394,99,0.844623327255249
7,19,224,196,0.4948495626449585
7,20,384,94,0.8345070481300354
7,21,229,191,0.44509750604629517
7,22,377,96,0.7854005098342896
7,23,261,221,0.9988996386528015
7,24,312,227,0.9991576671600342
7,25,258,254,0.5107720494270325
7,26,308,260,0.7463749051094055
7,27,247,319,0.7518923878669739
7,28,301,331,0.8740705251693726
7,29,249,340,0.8400189876556396
7,30,294,347,0.9120566248893738
7,31,243,305,0.6766471862792969
7,32,298,323,0.6469712853431702
8,0,306,33,0.9982855319976807
8,1,305,26,0.9980481266975403
8,2,302,27,0.9984541535377502
