frame,point,x,y,visibility
0,0,290,121,0.9999288320541382
0,1,293,110,0.9997931122779846
0,2,296,110,0.9997465014457703
0,3,299,110,0.9996352195739746
0,4,284,110,0.9998134970664978
0,5,280,109,0.9998648166656494
0,6,277,109,0.9998538494110107
0,7,299,113,0.9993231296539307
0,8,267,113,0.9996520280838013
0,9,293,130,0.999822199344635
0,10,283,130,0.999879002571106
0,11,322,159,0.9997205138206482
0,12,237,167,0.9997676014900208
0,13,337,224,0.9298405051231384
0,14,211,248,0.992241621017456
0,15,356,272,0.9415180683135986
0,16,194,190,0.9956835508346558
0,17,364,283,0.9021934270858765
0,18,184,170,0.9921188354492188
0,19,365,286,0.9070855975151062
0,20,187,162,0.9914448857307434
0,21,361,282,0.9012115001678467
0,22,193,168,0.9843145608901978
0,23,299,277,0.9995046854019165
0,24,260,279,0.9997205138206482
0,25,297,349,0.8088082075119019
0,26,261,360,0.9661851525306702
0,27,285,401,0.8756430745124817
0,28,255,422,0.9711095094680786
0,29,279,407,0.8527873158454895
0,30,251,428,0.8059983253479004
0,31,308,430,0.9375380873680115
0,32,273,455,0.961170494556427
1,0,345,122,0.9999315142631531
1,1,347,110,0.9998053908348083
1,2,350,110,0.9997611045837402
1,3,353,110,0.9996560215950012
1,4,336,110,0.999824583530426
1,5,331,111,0.9998716115951538
1,6,326,111,0.9998610019683838
1,7,352,113,0.9993637800216675
1,8,314,117,0.9996787905693054
1,9,349,131,0.9998083114624023
1,10,336,132,0.9998656511306763
1,11,343,159,0.9996792078018188
1,12,298,178,0.9997676610946655
1,13,349,224,0.8429495692253113
1,14,313,257,0.9896501898765564
1,15,354,268,0.8669887185096741
1,16,343,192,0.9891870021820068
1,17,356,281,0.834646463394165
1,18,351,171,0.9826551675796509
1,19,357,277,0.8383052349090576
1,20,343,163,0.9805268049240112
1,21,354,272,0.8324695825576782
1,22,339,169,0.9686154127120972
1,23,334,283,0.9994714260101318
1,24,310,291,0.9996934533119202
1,25,337,352,0.7919819951057434
1,26,312,374,0.9668429493904114
1,27,325,400,0.8654690980911255
1,28,305,435,0.9706910848617554
1,29,316,407,0.8538593649864197
1,30,298,445,0.8132126927375793
1,31,352,419,0.9354435205459595
1,32,340,463,0.9608646631240845
2,0,349,123,0.999934196472168
2,1,351,111,0.9998161196708679
2,2,354,110,0.9997743368148804
2,3,357,110,0.9996726512908936
2,4,340,111,0.9998364448547363
2,5,334,112,0.9998798370361328
2,6,329,113,0.9998701810836792
2,7,354,113,0.9993920922279358
2,8,317,119,0.9997062683105469
2,9,352,132,0.9997910857200623
2,10,341,133,0.9998629093170166
2,11,346,158,0.9995405077934265
2,12,303,180,0.9997773170471191
2,13,349,223,0.76225346326828
2,14,317,259,0.989717960357666
2,15,355,269,0.790032148361206
2,16,348,193,0.9880101680755615
2,17,357,285,0.7638741731643677
2,18,352,174,0.9806196689605713
2,19,358,280,0.766562819480896
2,20,345,166,0.9781325459480286
2,21,354,273,0.7610808610916138
2,22,343,170,0.9644821882247925
2,23,338,283,0.9993887543678284
2,24,316,291,0.9996712803840637
2,25,340,351,0.7860323786735535
2,26,317,373,0.9686195850372314
2,27,330,393,0.86223304271698
2,28,309,436,0.9705197215080261
2,29,321,403,0.856123149394989
2,30,300,445,0.8203721046447754
2,31,358,408,0.9348815679550171
2,32,344,464,0.9609014391899109
3,0,349,124,0.9999350309371948
3,1,350,111,0.9998239278793335
3,2,353,111,0.9997836351394653
3,3,355,110,0.9996861815452576
3,4,338,112,0.9998449683189392
3,5,333,113,0.9998846054077148
3,6,329,114,0.9998759031295776
3,7,352,113,0.999415934085846
3,8,317,120,0.9997273087501526
3,9,352,133,0.999769389629364
3,10,340,135,0.9998519420623779
3,11,345,159,0.999399721622467
3,12,301,183,0.9997720718383789
3,13,354,223,0.6923128962516785
3,14,318,263,0.9880363941192627
3,15,373,257,0.7365512251853943
3,16,346,196,0.9856172800064087
3,17,380,267,0.7161733508110046
3,18,352,176,0.977125346660614
3,19,383,263,0.7183404564857483
3,20,344,166,0.9743775725364685
3,21,377,259,0.7134950160980225
